action,y_true,y_pred,gender,loss,total_cost,confidence,step,ai_penalty_gender0,ai_penalty_gender1
AI,0,1,0,1.0,1.0,0.8221857024177665,45,0.0,0.0
AI,1,1,0,0.0,0.0,0.811830283734389,46,0.0,0.0
AI,1,1,1,0.0,0.0,0.9479840096929021,47,0.0,0.0
AI,0,1,1,1.0,1.0,0.8030826978014758,48,0.0,0.0
AI,1,1,1,0.0,0.0,0.821544890939377,49,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.82815663556092,50,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.833440951682445,51,0.0,0.0
AI,0,1,0,1.0,1.0,0.822115885658846,52,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.8514172158819363,53,0.0,0.0
AI,1,1,1,0.0,0.0,0.8583512568135669,54,0.0,0.0
AI,1,1,1,0.0,0.0,0.8583696725799272,55,0.0,0.0
HUMAN,1,1,0,0.0,0.8,0.8519016526592613,56,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.8867478027528396,57,0.0,0.0
AI,0,1,1,1.0,1.0,0.5671347733955937,58,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.8197481754414261,59,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.6311552137982392,60,0.0,0.0
AI,1,1,1,0.0,0.0,0.826686865497941,61,0.0,0.0
HUMAN,0,0,0,0.0,0.8,0.8324413782730982,62,0.0,0.0
AI,0,1,1,1.0,1.0,0.8583696725799272,63,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8699833872173844,64,0.0,0.0
DIAGNOSTIC,1,0,0,1.0,1.4,0.8742830251178303,65,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.9328007932738522,66,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8239970801755081,67,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.9060879570544884,68,0.0,0.0
AI,1,1,1,0.0,0.0,0.928869714173327,69,0.0,0.0
AI,1,1,0,0.0,0.0,0.9438501234586596,70,0.0,0.0
HUMAN,0,0,0,0.0,0.8,0.8229596719406829,71,0.0,0.0
HUMAN,0,0,0,0.0,0.8,0.9775514666069153,72,0.0,0.0
HUMAN,0,0,0,0.0,0.8,0.5555151371615048,73,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.5515642196859106,74,0.0,0.0
HUMAN,1,1,0,0.0,0.8,0.554292948139655,75,0.0,0.0
AI,0,0,0,0.0,0.0,0.989602864267249,76,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8215305410382671,77,0.0,0.0
AI,0,0,0,0.0,0.0,0.9802346613243407,78,0.0,0.0
AI,1,1,0,0.0,0.0,0.8641395366425835,79,0.0,0.0
AI,0,1,1,1.0,1.0,0.5698074649715004,80,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8232001632743655,81,0.0,0.0
AI,1,1,1,0.0,0.0,0.9309831687809215,82,0.0,0.0
AI,1,0,0,1.0,1.0,0.5057515214527377,83,0.0,0.0
AI,1,1,1,0.0,0.0,0.7844769181486164,84,0.0,0.0
AI,1,1,1,0.0,0.0,0.828770026954236,85,0.0,0.0
AI,1,1,1,0.0,0.0,0.8960771784611984,86,0.0,0.0
AI,1,1,0,0.0,0.0,0.9054303805646631,87,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8578596354661696,88,0.0,0.0
AI,1,1,0,0.0,0.0,0.8649549726550475,89,0.0,0.0
AI,1,1,0,0.0,0.0,0.943129130657702,90,0.0,0.0
AI,1,1,1,0.0,0.0,0.9448042597468028,91,0.0,0.0
AI,1,1,1,0.0,0.0,0.9407114590818912,92,0.0,0.0
AI,1,1,1,0.0,0.0,0.9459655410910865,93,0.0,0.0
AI,1,1,1,0.0,0.0,0.9074307101966153,94,0.0,0.0
AI,1,1,1,0.0,0.0,0.93658440691156,95,0.0,0.0
HUMAN,1,1,0,0.0,0.8,0.7779028252884459,96,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.9178112864388206,97,0.0,0.0
AI,0,0,0,0.0,0.0,0.972832594504563,98,0.0,0.0
DIAGNOSTIC,1,0,0,1.0,1.4,0.8607456807520373,99,0.0,0.0
AI,1,1,0,0.0,0.0,0.9474016209619117,100,0.0,0.0
AI,1,1,0,0.0,0.0,0.7089675958197613,101,0.0,0.0
AI,1,1,1,0.0,0.0,0.9002599626203855,102,0.0,0.0
AI,1,1,1,0.0,0.0,0.9362779186588845,103,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.9354177243002464,104,0.0,0.0
AI,1,1,1,0.0,0.0,0.8874921739890598,105,0.0,0.0
AI,1,1,1,0.0,0.0,0.7844769181486164,106,0.0,0.0
AI,1,1,1,0.0,0.0,0.9224651141654506,107,0.0,0.0
AI,1,1,1,0.0,0.0,0.8978289599702348,108,0.0,0.0
AI,1,1,1,0.0,0.0,0.9273467109026073,109,0.0,0.0
AI,1,1,1,0.0,0.0,0.8583696725799272,110,0.0,0.0
AI,1,1,1,0.0,0.0,0.9173011487644542,111,0.0,0.0
AI,1,1,1,0.0,0.0,0.8780562183764979,112,0.0,0.0
AI,1,1,1,0.0,0.0,0.8592552163202353,113,0.0,0.0
AI,1,1,0,0.0,0.0,0.8849506361197911,114,0.0,0.0
AI,1,1,0,0.0,0.0,0.9239223608053206,115,0.0,0.0
AI,1,1,0,0.0,0.0,0.8854012450966543,116,0.0,0.0
AI,1,1,0,0.0,0.0,0.9474853091605946,117,0.0,0.0
AI,1,1,0,0.0,0.0,0.9408676421815173,118,0.0,0.0
AI,0,1,1,1.0,1.0,0.8839248282063734,119,0.0,0.0
AI,1,1,1,0.0,0.0,0.8516199710564312,120,0.0,0.0
AI,1,1,1,0.0,0.0,0.8239970801755081,121,0.0,0.0
AI,1,1,1,0.0,0.0,0.8345956657216622,122,0.0,0.0
AI,1,1,1,0.0,0.0,0.8721692522693629,123,0.0,0.0
AI,1,1,1,0.0,0.0,0.9053037069401008,124,0.0,0.0
AI,0,0,1,0.0,0.0,0.9793938971426208,125,0.0,0.0
AI,1,1,0,0.0,0.0,0.9043042223257025,126,0.0,0.0
AI,1,1,1,0.0,0.0,0.7835532211690961,127,0.0,0.0
AI,1,1,1,0.0,0.0,0.8947891876126389,128,0.0,0.0
AI,1,1,1,0.0,0.0,0.8874921739890598,129,0.0,0.0
AI,1,1,1,0.0,0.0,0.9472962658567571,130,0.0,0.0
AI,1,1,0,0.0,0.0,0.9186489532547633,131,0.0,0.0
AI,1,1,0,0.0,0.0,0.9138349383443733,132,0.0,0.0
AI,1,1,0,0.0,0.0,0.9406693182308444,133,0.0,0.0
AI,1,1,0,0.0,0.0,0.9438501234586596,134,0.0,0.0
AI,1,1,1,0.0,0.0,0.868393404186477,135,0.0,0.0
AI,1,1,0,0.0,0.0,0.8690571028790559,136,0.0,0.0
AI,1,1,0,0.0,0.0,0.8266272020264278,137,0.0,0.0
AI,1,1,0,0.0,0.0,0.9172447222412512,138,0.0,0.0
AI,0,1,1,1.0,1.0,0.5190016516614976,139,0.0,0.0
AI,1,1,0,0.0,0.0,0.9206069443870375,140,0.0,0.0
AI,1,1,1,0.0,0.0,0.5814309141584213,141,0.0,0.0
AI,1,1,0,0.0,0.0,0.9027786409442383,142,0.0,0.0
AI,1,1,0,0.0,0.0,0.9100328529535961,143,0.0,0.0
AI,1,1,1,0.0,0.0,0.8434636380365974,144,0.0,0.0
AI,0,1,0,1.0,1.0,0.8218079551989067,145,0.0,0.0
AI,0,0,0,0.0,0.0,0.9889267624729665,146,0.0,0.0
AI,0,0,1,0.0,0.0,0.977923764409355,147,0.0,0.0
AI,1,1,1,0.0,0.0,0.8213427667776095,148,0.0,0.0
AI,1,1,1,0.0,0.0,0.8751192020917017,149,0.0,0.0
AI,0,0,0,0.0,0.0,0.9891436912733879,150,0.0,0.0
AI,0,0,0,0.0,0.0,0.9889609497444686,151,0.0,0.0
AI,1,1,1,0.0,0.0,0.8697860009032687,152,0.0,0.0
AI,0,1,1,1.0,1.0,0.8217226755819711,153,0.0,0.0
AI,1,1,0,0.0,0.0,0.8583696725799272,154,0.0,0.0
HUMAN,1,0,0,1.0,1.8,0.8643902901001372,155,0.0,0.0
AI,1,1,0,0.0,0.0,0.8211506825000908,156,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8211506825000908,157,0.0,0.0
AI,0,1,0,1.0,1.0,0.8098831774432395,158,0.0,0.0
AI,1,1,1,0.0,0.0,0.8312058902813331,159,0.0,0.0
AI,0,1,0,1.0,1.0,0.8312058902813331,160,0.0,0.0
AI,0,0,0,0.0,0.0,0.975419126532484,161,0.0,0.0
AI,1,1,0,0.0,0.0,0.8057242065693051,162,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.9876901265474158,163,0.0,0.0
AI,0,1,0,1.0,1.0,0.86627661639298,164,0.0,0.0
AI,0,0,0,0.0,0.0,0.9728206433308862,165,0.0,0.0
AI,1,1,0,0.0,0.0,0.898890618845698,166,0.0,0.0
AI,1,1,0,0.0,0.0,0.8235749448893438,167,0.0,0.0
AI,1,1,0,0.0,0.0,0.8653524489500345,168,0.0,0.0
AI,0,1,0,1.0,1.0,0.8213429864902506,169,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.5583674005382095,170,0.0,0.0
AI,1,1,1,0.0,0.0,0.8301129787866545,171,0.0,0.0
AI,1,1,1,0.0,0.0,0.8211506825000908,172,0.0,0.0
AI,1,1,1,0.0,0.0,0.8666672026397648,173,0.0,0.0
AI,1,1,1,0.0,0.0,0.9173351819745268,174,0.0,0.0
AI,1,1,1,0.0,0.0,0.8418340253188801,175,0.0,0.0
AI,0,0,0,0.0,0.0,0.9882978099649631,176,0.0,0.0
AI,1,1,0,0.0,0.0,0.6106436996531144,177,0.0,0.0
AI,0,1,0,1.0,1.0,0.638766384845024,178,0.0,0.0
AI,1,1,0,0.0,0.0,0.8833586263237365,179,0.0,0.0
AI,1,1,1,0.0,0.0,0.8767066228223699,180,0.0,0.0
AI,0,1,0,1.0,1.0,0.5698074649715004,181,0.0,0.0
AI,1,1,0,0.0,0.0,0.6079543000525134,182,0.0,0.0
AI,1,1,1,0.0,0.0,0.8682422185164308,183,0.0,0.0
AI,1,1,1,0.0,0.0,0.9185508118926474,184,0.0,0.0
AI,1,1,0,0.0,0.0,0.6111606950280641,185,0.0,0.0
AI,1,1,0,0.0,0.0,0.9033297652454916,186,0.0,0.0
AI,1,1,0,0.0,0.0,0.8257667505796447,187,0.0,0.0
AI,1,1,1,0.0,0.0,0.9345895550908269,188,0.0,0.0
AI,1,1,1,0.0,0.0,0.9045446141808455,189,0.0,0.0
AI,0,1,1,1.0,1.0,0.8207262131121279,190,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,191,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,192,0.0,0.0
AI,1,1,0,0.0,0.0,0.9208260125153741,193,0.0,0.0
AI,1,1,0,0.0,0.0,0.9021083214952912,194,0.0,0.0
AI,1,1,1,0.0,0.0,0.6936232828176642,195,0.0,0.0
AI,1,1,1,0.0,0.0,0.8706323378066736,196,0.0,0.0
AI,1,1,1,0.0,0.0,0.7526103271269848,197,0.0,0.0
AI,1,1,1,0.0,0.0,0.9044450029457703,198,0.0,0.0
AI,1,1,1,0.0,0.0,0.8724758154222556,199,0.0,0.0
AI,0,1,1,1.0,1.0,0.8264828862737744,200,0.0,0.0
AI,1,1,0,0.0,0.0,0.8728431530481318,201,0.0,0.0
AI,1,1,1,0.0,0.0,0.9211774287867911,202,0.0,0.0
AI,1,1,1,0.0,0.0,0.909377589110095,203,0.0,0.0
AI,0,0,0,0.0,0.0,0.9907166357314616,204,0.0,0.0
AI,1,1,1,0.0,0.0,0.866323243889154,205,0.0,0.0
AI,1,1,1,0.0,0.0,0.8876247950433477,206,0.0,0.0
AI,1,1,0,0.0,0.0,0.8742663033757972,207,0.0,0.0
AI,0,0,0,0.0,0.0,0.9761730476495878,208,0.0,0.0
AI,1,1,0,0.0,0.0,0.9084003461968202,209,0.0,0.0
AI,1,1,1,0.0,0.0,0.9094137000072381,210,0.0,0.0
AI,1,1,1,0.0,0.0,0.9091081747807482,211,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,212,0.0,0.0
AI,0,0,0,0.0,0.0,0.9786069822049512,213,0.0,0.0
AI,1,1,0,0.0,0.0,0.8345956657216622,214,0.0,0.0
AI,0,1,1,1.0,1.0,0.8186723981174893,215,0.0,0.0
AI,0,0,0,0.0,0.0,0.9892056792428535,216,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.5503901999254299,217,0.0,0.0
AI,0,1,0,1.0,1.0,0.8215017379734618,218,0.0,0.0
AI,1,1,1,0.0,0.0,0.5701474179842642,219,0.0,0.0
AI,1,1,1,0.0,0.0,0.882098575355619,220,0.0,0.0
AI,0,0,1,0.0,0.0,0.9785858393519853,221,0.0,0.0
AI,0,1,1,1.0,1.0,0.7256168276761987,222,0.0,0.0
AI,1,1,1,0.0,0.0,0.8943743363902044,223,0.0,0.0
AI,1,1,1,0.0,0.0,0.922090688735549,224,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,225,0.0,0.0
AI,0,1,1,1.0,1.0,0.7476139369201,226,0.0,0.0
AI,0,0,1,0.0,0.0,0.9882454389459113,227,0.0,0.0
AI,1,1,0,0.0,0.0,0.9406693182308444,228,0.0,0.0
AI,0,1,0,1.0,1.0,0.8186723981174893,229,0.0,0.0
AI,1,1,0,0.0,0.0,0.8215975437812464,230,0.0,0.0
AI,1,1,0,0.0,0.0,0.7263787941225675,231,0.0,0.0
AI,1,1,0,0.0,0.0,0.8299982379571039,232,0.0,0.0
AI,1,1,0,0.0,0.0,0.8929408859519589,233,0.0,0.0
AI,1,1,1,0.0,0.0,0.9357401621671828,234,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,235,0.0,0.0
AI,1,1,0,0.0,0.0,0.9189876216246956,236,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.6147967338226125,237,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8267414097219377,238,0.0,0.0
AI,1,1,1,0.0,0.0,0.8234936747083482,239,0.0,0.0
AI,1,1,1,0.0,0.0,0.8724758154222556,240,0.0,0.0
AI,1,1,0,0.0,0.0,0.8859480272482226,241,0.0,0.0
AI,0,0,0,0.0,0.0,0.9884773160109355,242,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.829251669797889,243,0.0,0.0
AI,1,1,1,0.0,0.0,0.866323243889154,244,0.0,0.0
AI,1,1,1,0.0,0.0,0.8724758154222556,245,0.0,0.0
AI,1,1,1,0.0,0.0,0.8955258080872286,246,0.0,0.0
AI,1,1,1,0.0,0.0,0.903871812765896,247,0.0,0.0
AI,1,1,1,0.0,0.0,0.8839298833042042,248,0.0,0.0
AI,1,1,1,0.0,0.0,0.849573025393324,249,0.0,0.0
AI,1,1,1,0.0,0.0,0.9353991041538261,250,0.0,0.0
AI,0,0,1,0.0,0.0,0.98142969205387,251,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.5572744068466446,252,0.0,0.0
AI,1,1,0,0.0,0.0,0.8866901511224954,253,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8213880925568257,254,0.0,0.0
AI,0,0,1,0.0,0.0,0.9764368234166543,255,0.0,0.0
AI,1,1,1,0.0,0.0,0.7842833289567498,256,0.0,0.0
AI,1,1,1,0.0,0.0,0.9248703875100783,257,0.0,0.0
AI,0,1,1,1.0,1.0,0.7089675958197613,258,0.0,0.0
AI,1,1,1,0.0,0.0,0.7089675958197613,259,0.0,0.0
AI,1,1,1,0.0,0.0,0.7089675958197613,260,0.0,0.0
AI,1,1,1,0.0,0.0,0.8740371543703921,261,0.0,0.0
AI,0,0,0,0.0,0.0,0.9821350286069084,262,0.0,0.0
AI,0,1,0,1.0,1.0,0.7089675958197613,263,0.0,0.0
AI,1,1,0,0.0,0.0,0.8583696725799272,264,0.0,0.0
AI,0,0,1,0.0,0.0,0.977831076983372,265,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.9786396974275081,266,0.0,0.0
AI,0,0,0,0.0,0.0,0.9939454140664369,267,0.0,0.0
AI,1,0,0,1.0,1.0,0.6534511224672729,268,0.0,0.0
AI,1,1,0,0.0,0.0,0.8734693307237356,269,0.0,0.0
AI,1,0,0,1.0,1.0,0.6761305708272287,270,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.5636369760662235,271,0.0,0.0
AI,1,1,1,0.0,0.0,0.9178911561395262,272,0.0,0.0
AI,0,0,1,0.0,0.0,0.9793897577036803,273,0.0,0.0
AI,0,0,0,0.0,0.0,0.9886190941213324,274,0.0,0.0
AI,1,1,0,0.0,0.0,0.8732192489442671,275,0.0,0.0
AI,1,1,0,0.0,0.0,0.8621043251598877,276,0.0,0.0
AI,0,0,0,0.0,0.0,0.9790660963640472,277,0.0,0.0
AI,1,1,0,0.0,0.0,0.8549412338017787,278,0.0,0.0
AI,1,1,1,0.0,0.0,0.8724758154222556,279,0.0,0.0
AI,0,1,0,1.0,1.0,0.8724758154222556,280,0.0,0.0
AI,1,1,0,0.0,0.0,0.9030493665532371,281,0.0,0.0
AI,1,1,0,0.0,0.0,0.8772796096217277,282,0.0,0.0
AI,1,1,1,0.0,0.0,0.9025397308421296,283,0.0,0.0
AI,1,1,1,0.0,0.0,0.867112378483692,284,0.0,0.0
AI,1,1,0,0.0,0.0,0.9218343064777843,285,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,286,0.0,0.0
AI,1,1,1,0.0,0.0,0.8977682748924959,287,0.0,0.0
AI,0,0,0,0.0,0.0,0.9770757709359681,288,0.0,0.0
AI,1,1,1,0.0,0.0,0.9081811810006848,289,0.0,0.0
AI,1,1,1,0.0,0.0,0.9183014227984161,290,0.0,0.0
AI,1,1,1,0.0,0.0,0.8724758154222556,291,0.0,0.0
AI,1,1,1,0.0,0.0,0.866323243889154,292,0.0,0.0
AI,1,1,1,0.0,0.0,0.9045523071589876,293,0.0,0.0
AI,1,1,1,0.0,0.0,0.8978400327410773,294,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.544714556439663,295,0.0,0.0
AI,1,1,0,0.0,0.0,0.869568610870284,296,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.8527906200433304,297,0.0,0.0
AI,0,1,0,1.0,1.0,0.8494827738222932,298,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8498786645359473,299,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,300,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.5526316171276268,301,0.0,0.0
DIAGNOSTIC,1,0,0,1.0,1.4,0.5410279543385876,302,0.0,0.0
AI,0,1,0,1.0,1.0,0.9093463835101033,303,0.0,0.0
AI,1,1,0,0.0,0.0,0.9094137000072381,304,0.0,0.0
AI,1,1,1,0.0,0.0,0.9030493665532371,305,0.0,0.0
AI,1,1,1,0.0,0.0,0.8977207442167894,306,0.0,0.0
AI,1,1,0,0.0,0.0,0.8652496373189077,307,0.0,0.0
AI,1,1,0,0.0,0.0,0.8917238696274643,308,0.0,0.0
AI,1,1,0,0.0,0.0,0.907690009909853,309,0.0,0.0
AI,1,1,0,0.0,0.0,0.8724758154222556,310,0.0,0.0
AI,0,1,1,1.0,1.0,0.8724758154222556,311,0.0,0.0
AI,1,1,0,0.0,0.0,0.8978400327410773,312,0.0,0.0
AI,1,1,0,0.0,0.0,0.9032270968485229,313,0.0,0.0
AI,0,1,0,1.0,1.0,0.8615260847793407,314,0.0,0.0
AI,1,1,0,0.0,0.0,0.9218343064777843,315,0.0,0.0
AI,1,1,0,0.0,0.0,0.8497828617068602,316,0.0,0.0
AI,1,1,1,0.0,0.0,0.8724758154222556,317,0.0,0.0
AI,1,1,1,0.0,0.0,0.9198197867388431,318,0.0,0.0
AI,0,0,0,0.0,0.0,0.9771999699471319,319,0.0,0.0
AI,1,1,0,0.0,0.0,0.8879308096941815,320,0.0,0.0
AI,0,0,0,0.0,0.0,0.9827108370055294,321,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.6345016473687981,322,0.0,0.0
AI,1,1,1,0.0,0.0,0.9313614268304076,323,0.0,0.0
AI,1,1,1,0.0,0.0,0.9185788405820785,324,0.0,0.0
AI,0,1,1,1.0,1.0,0.9001517214503124,325,0.0,0.0
AI,0,1,0,1.0,1.0,0.8498450153055866,326,0.0,0.0
AI,1,1,0,0.0,0.0,0.8961764045935819,327,0.0,0.0
AI,0,1,1,1.0,1.0,0.8498786645359473,328,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.5130918881913505,329,0.0,0.0
AI,0,1,0,1.0,1.0,0.9129904249059126,330,0.0,0.0
AI,1,1,0,0.0,0.0,0.9097409420547361,331,0.0,0.0
DIAGNOSTIC,0,0,0,0.0,0.4,0.5011878343718953,332,0.0,0.0
AI,0,0,0,0.0,0.0,0.9930813602269487,333,0.0,0.0
AI,1,1,0,0.0,0.0,0.8498786645359473,334,0.0,0.0
AI,1,1,1,0.0,0.0,0.9018559247828112,335,0.0,0.0
AI,1,1,1,0.0,0.0,0.8497828617068602,336,0.0,0.0
AI,1,1,1,0.0,0.0,0.899458900616532,337,0.0,0.0
AI,1,1,1,0.0,0.0,0.8586705305819052,338,0.0,0.0
AI,0,1,0,1.0,1.0,0.6066874759126165,339,0.0,0.0
DIAGNOSTIC,1,1,0,0.0,0.4,0.829251669797889,340,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.5634397590208955,341,0.0,0.0
AI,1,1,1,0.0,0.0,0.7262580076569822,342,0.0,0.0
AI,1,1,1,0.0,0.0,0.8549412338017787,343,0.0,0.0
AI,1,1,1,0.0,0.0,0.8549412338017787,344,0.0,0.0
AI,1,1,1,0.0,0.0,0.7089675958197613,345,0.0,0.0
AI,1,1,0,0.0,0.0,0.8259125631703348,346,0.0,0.0
AI,1,1,0,0.0,0.0,0.8742172345063576,347,0.0,0.0
AI,1,1,1,0.0,0.0,0.8265703638986512,348,0.0,0.0
AI,0,0,1,0.0,0.0,0.9785278531236852,349,0.0,0.0
AI,0,0,1,0.0,0.0,0.9768344259758132,350,0.0,0.0
AI,1,1,0,0.0,0.0,0.8601892256748422,351,0.0,0.0
AI,0,0,1,0.0,0.0,0.9762827077189407,352,0.0,0.0
AI,0,0,1,0.0,0.0,0.9888371106701467,353,0.0,0.0
AI,0,0,0,0.0,0.0,0.9785576567182497,354,0.0,0.0
AI,1,1,0,0.0,0.0,0.9080745534149426,355,0.0,0.0
AI,0,1,1,1.0,1.0,0.8549412338017787,356,0.0,0.0
AI,0,0,1,0.0,0.0,0.9912698331904392,357,0.0,0.0
AI,1,1,0,0.0,0.0,0.8687347438198232,358,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.5621100058558968,359,0.0,0.0
AI,0,0,0,0.0,0.0,0.9795903002773293,360,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8163667847279458,361,0.0,0.0
AI,0,0,1,0.0,0.0,0.9734434893833194,362,0.0,0.0
DIAGNOSTIC,0,0,1,0.0,0.4,0.9918930000909622,363,0.0,0.0
AI,1,1,1,0.0,0.0,0.8732192489442671,364,0.0,0.0
AI,1,1,0,0.0,0.0,0.8549412338017787,365,0.0,0.0
AI,0,0,1,0.0,0.0,0.9735793802994464,366,0.0,0.0
DIAGNOSTIC,1,1,1,0.0,0.4,0.8295311445637662,367,0.0,0.0
DIAGNOSTIC,1,0,0,1.0,1.4,0.8295311445637662,368,0.0,0.0
AI,0,0,0,0.0,0.0,0.9726445518781291,369,0.0,0.0
AI,1,1,0,0.0,0.0,0.8729096358921835,370,0.0,0.0
AI,0,0,0,0.0,0.0,0.9777475855137943,371,0.0,0.0
AI,1,1,0,0.0,0.0,0.8295311445637662,372,0.0,0.0
AI,1,1,0,0.0,0.0,0.6173651626730713,373,0.0,0.0
